Freq.	V(n003)	V(n002)	V(n001)	I(C1)	I(L1)	I(R2)	I(R1)	I(V1)
1.50000000000000e+05	1.53752598065169e-05,-2.77716353647557e-03	9.99998702886891e-01,2.34291614712014e-04	1.00000000000000e+00,0.00000000000000e+00	3.03918783475502e-09,1.68259095823597e-11	1.39775119542032e-02,-2.52469412405187e+00	1.39775089150154e-02,-2.52469412406870e+00	-1.39775119555759e-02,2.52469412405187e+00	-1.39775119550905e-02,2.52469412405187e+00
1.50345785711685e+05	1.53046190444831e-05,-2.77077662777765e-03	9.99998708846402e-01,2.33752791869138e-04	1.00000000000000e+00,0.00000000000000e+00	3.03918826274398e-09,1.67872134113778e-11	1.39132930796275e-02,-2.51888784341744e+00	1.39132900404392e-02,-2.51888784343423e+00	-1.39132930799085e-02,2.51888784341744e+00	-1.39132930798951e-02,2.51888784341744e+00
1.50692368541759e+05	1.52343028275100e-05,-2.76440440587617e-03	9.99998714778534e-01,2.33215208057817e-04	1.00000000000000e+00,0.00000000000000e+00	3.03918868876663e-09,1.67486062228075e-11	1.38493692460160e-02,-2.51309491441613e+00	1.38493662068273e-02,-2.51309491443288e+00	-1.38493692448135e-02,2.51309491441613e+00	-1.38493692447810e-02,2.51309491441613e+00
1.51039750327771e+05	1.51643096646296e-05,-2.75804683701091e-03	9.99998720683412e-01,2.32678860429915e-04	1.00000000000000e+00,0.00000000000000e+00	3.03918911283200e-09,1.67100878121067e-11	1.37857390979433e-02,-2.50731530635685e+00	1.37857360587542e-02,-2.50731530637356e+00	-1.37857390972067e-02,2.50731530635685e+00	-1.37857390964200e-02,2.50731530635685e+00
1.51387932911503e+05	1.50946380717226e-05,-2.75170388749920e-03	9.99998726561161e-01,2.32143746143840e-04	1.00000000000000e+00,0.00000000000000e+00	3.03918953494909e-09,1.66716579752032e-11	1.37224012862101e-02,-2.50154898861896e+00	1.37223982470206e-02,-2.50154898863564e+00	-1.37224012852000e-02,2.50154898861896e+00	-1.37224012851220e-02,2.50154898861896e+00
1.51736918138985e+05	1.50252865714872e-05,-2.74537552373568e-03	9.99998732411905e-01,2.31609862364521e-04	1.00000000000000e+00,0.00000000000000e+00	3.03918995512684e-09,1.66333165084932e-11	1.36593544678146e-02,-2.49579593065217e+00	1.36593514286247e-02,-2.49579593066880e+00	-1.36593544676728e-02,2.49579593065217e+00	-1.36593544684729e-02,2.49579593065217e+00
1.52086707860502e+05	1.49562536934071e-05,-2.73906171219218e-03	9.99998738235770e-01,2.31077206263400e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919037337416e-09,1.65950632088407e-11	1.35965973059241e-02,-2.49005610197630e+00	1.35965942667337e-02,-2.49005610199289e+00	-1.35965973058971e-02,2.49005610197630e+00	-1.35965973058774e-02,2.49005610197630e+00
1.52437303930604e+05	1.48875379737213e-05,-2.73276241941751e-03	9.99998744032878e-01,2.30545775018412e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03919078969993e-09,1.65568978735758e-11	1.35341284698465e-02,-2.48432947218118e+00	1.35341254306557e-02,-2.48432947219773e+00	-1.35341284719121e-02,2.48432947218118e+00	-1.35341284712922e-02,2.48432947218118e+00
1.52788708208117e+05	1.48191379553922e-05,-2.72647761203727e-03	9.99998749803352e-01,2.30015565813975e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919120411297e-09,1.65188203004943e-11	1.34719466350023e-02,-2.47861601092646e+00	1.34719435958111e-02,-2.47861601094297e+00	-1.34719466365609e-02,2.47861601092646e+00	-1.34719466368551e-02,2.47861601092646e+00
1.53140922556152e+05	1.47510521880753e-05,-2.72020725675374e-03	9.99998755547315e-01,2.29486575840968e-04	1.00000000000000e+00,8.67361737988404e-19	3.03919161662206e-09,1.64808302878561e-11	1.34100504828964e-02,-2.47291568794146e+00	1.34100474437048e-02,-2.47291568795794e+00	-1.34100504826498e-02,2.47291568794146e+00	-1.34100504819799e-02,2.47291568794146e+00
